"GEOGRAPHY_NAME","GEOGRAPHY_CODE","AGE_NAME","OBS_VALUE"
"Benton","E36006702","Aged 16-24",30
"Benton","E36006702","Aged 25-29",10
"Camperdown","E36006703","Aged 16-24",40
"Camperdown","E36006703","Aged 25-29",25
"Chirton","E36006704","Aged 16-24",100
"Chirton","E36006704","Aged 25-29",60
"Collingwood","E36006705","Aged 16-24",70
"Collingwood","E36006705","Aged 25-29",30
"Cullercoats","E36006706","Aged 16-24",20
"Cullercoats","E36006706","Aged 25-29",10
"Howdon","E36006707","Aged 16-24",90
"Howdon","E36006707","Aged 25-29",55
"Killingworth","E36006708","Aged 16-24",20
"Killingworth","E36006708","Aged 25-29",15
"Longbenton","E36006709","Aged 16-24",45
